# x[mm], D0[mm], DM[mm]
50, 7.94, 7.89
100, 8.01, 7.65
120, 7.97, 7,55
140, 7.98, 7.44
160, 7.96, 7.34
180, 7.91, 7.18
200, 7.90, 7.09
220, 7.88, 6.99
240, 7.88, 6.92
260, 7.89, 6.87
290, 7.23, 6.24
310, 7.22, 6.23
330, 7.19, 6.14
350, 7.18, 6.24
370, 7.18, 6.29
390, 7.16, 6.32
410, 7.13, 6.20
430, 7.13, 6.45
450, 7.14, 6.56
500, 7.15, 6.84
