# x[mm], D0[mm], DM[mm]
50, 7.91, 7.73
100, 7.90, 7.38
120, 7.85, 7,16
140, 7.80, 6.93
160, 7.75, 6.71
180, 7.67, 6.45
200, 7.66, 6.28
220, 7.63, 6.12
240, 7.59, 5.95
260, 7.56, 5.84
290, 6.98, 5.18
310, 6.97, 5.16
330, 6.96, 5.18
350, 6.95, 5.22
370, 6.95, 5.31
390, 6.95, 5.42
410, 6.95, 5.57
430, 6.96, 5.73
450, 6.99, 5.92
500, 7.05, 6.46
