# x[mm], D0[mm], DM[mm]
25, 7.89, 7.85
50, 7.87, 7.74
75, 7.86, 7.62
100, 7.81, 7.41
150, 7.63, 6.83
200, 7.43, 6.11
250, 7.23, 5.29
300, 6.98, 4.38
350, 6.72, 3.39
375, 6.56, 2.84
400, 6.37, 2.27
410, 6.28, 2.03
420, 6.20, 1.79
430, 6.12, 1.56
435, 6.08, 1.46
