# Sägezahnfrequenz bei stehenden Bildern 
# und somit Frequenzverhältnis n (n*v_Sä=v_sin)
# peek-to-peek Sinus: 1.27cm
# n,v_Sägezahn[Hz]
0.5,100.07
1,50.07
2,25.05
3,12.54
