# Iq[A], Uh[mT]
0.0,0.000
0.5,-0.024
1.0,-0.046
1.5,-0.067
2.0,-0.089
2.5,-0.109
3.0,-0,131
3.5,-0.153
4.0,-0.175
4.5,-0.196
5.0,-0.219
