# Ib[A], Uh[mT]
0.0,-0.178
0.5,-0.174
1.0,-0.171
1.5,-0.167
2.0,-0.164
2.5,-0.161
3.0,-0.157
3.5,-0.154
4.0,-0.151
4.5,-0.150
5.0,-0.148
