# Iq[A], Uh[mT]
0.0,-0.001
1.0,-0.016
2.0,-0.030
3.0,-0.044
4.0,-0.059
5.0,-0.073
6.0,-0.088
7.0,-0.102
8.0,-0.117
9.0,-0.131
10.0,-0.147
